x_coord,depth_coord,vs,vp,density
-35614.73764818469,-868.5401,120.449,1658.8700000000001,1912.369
-35458.31415375801,-875.1468550159383,122.34091457286432,1659.484065326633,1912.1887738693467
-35301.89065933134,-881.7536100318763,124.23282914572864,1660.0981306532665,1912.0085477386936
-35145.467164904665,-888.3603650478143,126.12474371859298,1660.7121959798997,1911.8283216080404
-34989.043670477986,-893.8895863917687,128.01665829145728,1661.3262613065326,1911.648095477387
-34832.62017605131,-896.3839269140063,129.90857286432163,1661.9403266331658,1911.4678693467338
-34676.196681624635,-898.8782674362438,131.80048743718592,1662.5543919597992,1911.2876432160804
-34519.77318719796,-901.3726079584812,133.69240201005024,1663.1684572864322,1911.1074170854272
-34363.349692771284,-903.8669484807189,135.5843165829146,1663.7825226130653,1910.9271909547738
-34206.926198344605,-905.1841158200743,137.4762311557789,1664.3965879396985,1910.7469648241206
-34050.50270391793,-906.1732854769316,139.36814572864324,1665.0106532663317,1910.5667386934672
-33894.07920949126,-906.3112493243087,141.26006030150754,1665.6247185929649,1910.386512562814
-33737.65571506458,-906.5330627210143,143.15197487437186,1666.238783919598,1910.2062864321608
-33581.2322206379,-907.4573201283343,145.04388944723618,1666.852849246231,1910.0260603015076
-33424.80872621123,-908.3815775356544,146.9358040201005,1667.4669145728644,1909.8458341708542
-33268.38523178456,-909.3058349429745,148.82771859296483,1668.0809798994976,1909.665608040201
-33111.96173735788,-910.2300923502945,150.71963316582915,1668.6950452261306,1909.4853819095476
-32955.5382429312,-910.6237898115671,152.61154773869345,1669.309110552764,1909.3051557788945
-32799.11474850453,-910.9900112639268,154.5034623115578,1669.9231758793971,1909.124929648241
-32642.691254077854,-911.3562327162864,156.39537688442212,1670.53724120603,1908.9447035175879
-32486.26775965118,-911.722454168646,158.28729145728641,1671.1513065326633,1908.7644773869345
-32329.844265224503,-912.0886756210057,160.17920603015077,1671.7653718592967,1908.5842512562815
-32173.420770797828,-913.033062293142,162.0711206030151,1672.3794371859296,1908.404025125628
-32016.997276371152,-914.0448412229034,163.9630351758794,1672.9935025125628,1908.223798994975
-31860.573781944477,-914.9522012051945,165.8549497487437,1673.607567839196,1908.0435728643217
-31704.1502875178,-915.8595611874856,167.74686432160803,1674.2216331658292,1907.8633467336683
-31547.726793091126,-916.7669211697768,169.63877889447238,1674.8356984924624,1907.6831206030151
-31391.30329866445,-917.6742811520679,171.53069346733668,1675.4497638190956,1907.5028944723617
-31234.879804237775,-918.4615987116849,173.42260804020103,1676.0638291457285,1907.3226683417085
-31078.4563098111,-919.075322641183,175.31452261306532,1676.677894472362,1907.1424422110551
-30922.032815384424,-919.6890465706812,177.20643718592964,1677.291959798995,1906.962216080402
-30765.60932095775,-920.3027705001793,179.09835175879397,1677.906025125628,1906.7819899497488
-30609.185826531073,-920.9164944296774,180.9902663316583,1678.5200904522615,1906.6017638190956
-30452.762332104398,-921.5302183591756,182.88218090452264,1679.1341557788946,1906.4215376884422
-30296.338837677722,-921.027531235754,184.77409547738694,1679.7482211055276,1906.241311557789
-30139.915343251047,-920.9317334142631,186.66601005025123,1680.3622864321608,1906.0610854271356
-29983.49184882437,-920.8733974856788,188.55792462311558,1680.9763517587942,1905.8808592964824
-29827.068354397696,-920.8150615570945,190.4498391959799,1681.5904170854271,1905.700633165829
-29670.64485997102,-920.7567256285101,192.34175376884423,1682.2044824120603,1905.5204070351758
-29514.221365544345,-920.6983896999259,194.23366834170855,1682.8185477386935,1905.3401809045224
-29357.79787111767,-920.1176682089985,196.12558291457287,1683.4326130653267,1905.1599547738695
-29201.374376690994,-919.1201215271683,198.0174974874372,1684.0466783919599,1904.979728643216
-29044.95088226432,-918.1225748453381,199.9094120603015,1684.660743718593,1904.7995025125629
-28888.527387837643,-917.125028163508,201.80132663316581,1685.274809045226,1904.6192763819095
-28732.103893410967,-916.1274814816779,203.69324120603017,1685.8888743718594,1904.4390502512563
-28575.680398984292,-915.1101280512315,205.58515577889446,1686.5029396984926,1904.258824120603
-28419.256904557617,-914.0049457372469,207.4770703517588,1687.1170050251255,1904.0785979899497
-28262.83341013094,-912.9946074376288,209.36898492462313,1687.731070351759,1903.8983718592965
-28106.409915704266,-911.3828782883062,211.26089949748743,1688.3451356783921,1903.718145728643
-27949.98642127759,-909.7711491389836,213.15281407035175,1688.959201005025,1903.53791959799
-27793.562926850915,-908.1594199896609,215.04472864321608,1689.5732663316583,1903.3576934673367
-27637.13943242424,-906.5476908403383,216.93664321608043,1690.1873316582917,1903.1774673366835
-27480.715937997564,-904.9359616910157,218.82855778894472,1690.8013969849246,1902.9972412060301
-27324.29244357089,-903.5452043253006,220.72047236180904,1691.4154623115578,1902.817015075377
-27167.868949144213,-903.0627821334236,222.6123869346734,1692.029527638191,1902.6367889447235
-27011.445454717537,-902.6552616722255,224.5043015075377,1692.6435929648242,1902.4565628140704
-26855.021960290862,-902.292000046646,226.396216080402,1693.2576582914573,1902.276336683417
-26698.598465864186,-901.9287384210666,228.28813065326634,1693.8717236180905,1902.0961105527638
-26542.17497143751,-901.5654767954871,230.18004522613066,1694.4857889447235,1901.9158844221104
